| aliyun      | i-bp1dai2pevz6yisgda3a | DBA-Inception-1                          | 114.215.169.249        | 10.162.87.166  |
| qcloud      | ins-18rhq08f           | Client_Report_1                          | 115.159.160.114        | 10.105.213.71  |
| qcloud      | ins-561wb7sf           | Client_Report_2                          | 123.206.126.122        | 10.154.36.62   |
| qcloud      | ins-j07hzzc9           | DBA-MANAGER                              | 122.152.205.189        | 10.154.157.247 |
| qcloud      | ins-78s4ausr           | Devops-DTS-1                             | 122.152.201.235        | 10.154.185.160 |
| aliyun      | i-wz9hoei1thnoltxitupw | Devops_Monitor_Falcon_Gate_1             | 120.25.126.95          | 10.116.137.218 |
| aliyun      | i-wz9e5y1e4yocetl5e86g | DBA_CESHI_game_2                         | 120.76.43.150          | 10.24.249.238  |
| aliyun      | i-wz9fr98r7fb2i5f5os7k | HT_CESHI_KAFKA_CLUSTER                   | 120.79.120.82          | 10.29.70.190   |
| aliyun      | i-wz925t87u5w6q2g91iuy | HT_MALL_YACE_HUXIAOJIE_02                | 120.79.120.20          | 10.81.249.75   |
| aliyun      | i-wz92dfrdaa0rq4zu0okm | HT_MALL_YACE_HUXIAOJIE_01                | 120.77.239.153         | 10.29.68.159   |
| aliyun      | i-bp1egep77fkx7hwo7ura | LIANLIANKAN_Games_1                      | 115.29.168.3           | 10.161.167.238 |
| aliyun      | i-bp14elkpjafx4tgerzo1 | HT_WEB_SEARCH_DB_01                      | 101.37.172.159         | 10.30.203.178  |
| aliyun      | i-bp1g60mbrgzfc4xon6as | HT_SECUREAPI_NG_05                       | 114.215.238.220        | 10.162.54.133  |
| aliyun      | i-bp1f6x0wusbq3l92ua2u | 客户端-项目六部                          | 115.29.169.45          | 10.161.173.198 |
| aliyun      | i-bp1gmjtzvsqkq9didgxm | 无中控机-服务器-周伟-1                   | 114.215.237.148        | 10.162.55.184  |
| aliyun      | i-bp1f4rhy9bt6q64rjov7 | SERVER_query_ZHOUWEI_2                   | 120.55.84.229          | 10.117.206.28  |
| aliyun      | i-23nhd2pbr            | Devops-Kernel-xudong-1                   | 114.55.226.187         | 10.25.240.31   |
| aliyun      | i-bp1hci5lb34953r7362n | DBA_HT_UAT_1                             | 112.124.103.140        | 10.161.137.71  |
| aliyun      | i-bp1ccq9xttkx4z4r5lsk | HT_ELK_02                                | 47.96.12.5             | 10.111.64.224  |
| aliyun      | i-bp109znunwuzyfk3reoz | HT_ELK_03                                | 47.96.17.51            | 10.111.64.225  |
| aliyun      | i-bp13tjc72c6c2na1akfr | HT_ELK_01                                | 116.62.170.108         | 10.111.64.226  |
| aliyun      | i-bp18pmxwulw7f1xy5awm | Devops_wx_2                              | 47.96.40.142           | 10.80.152.190  |
| aliyun      | i-bp1dvxdnatkotl6ka1xw | zhaoliliang_test_1                       | 47.97.22.102           | 10.46.229.39   |
| aliyun      | i-bp11z1rt2fvuk7w82p0k | HT_UAT_01                                | 47.97.21.13            | 10.81.47.125   |
| aliyun      | i-bp1cc7u1wkpsfeauddzo | Devops_file_execution                    | 47.97.36.195           | 10.80.153.81   |
| aliyun      | i-bp1hzw7zaqhwynwthgmh | ZHAGUZIPUKE_CESHI                        | 47.97.24.165           | 10.81.50.46    |
| aliyun      | i-bp16kqjv3d5k4w8gd1hi | TianJin_BaoDi_DataServer_1               | 47.97.122.119          | 10.111.65.7    |

| aliyun      | i-wz96rw16x4jjqvv107ph | DBA-inception-db-2                       | 120.24.16.181          | 10.44.98.217   |

| aliyun      | i-wz9cmn39ldn8lcaaa5y6 | DBA-inception-db-1                       | 120.24.45.45           | 10.24.217.92   |

| aliyun      | i-wz9ch6zwjcwjtzeyw4ly | HT_ceshi_04                              | 120.25.146.8           | 10.116.136.70  |

| aliyun      | i-wz9enb7vgm4mkjtumqzx | HT_GAMES_SELECT                          | 120.76.96.118          | 10.46.121.15   |

| aliyun      | i-wz9j4mon3coeasrmoa5q | Salt_Huanan_CESHI_Master_1               | 119.23.128.182         | 10.27.181.232  |

| aliyun      | i-wz9j3zm4hugg3pc29ric | DBA_CESHI_game_1                         | 120.76.77.29           | 10.45.191.101  |

| aliyun      | i-wz9bkd2934odus4czmkg | HT_ceshi_01                              | 112.74.95.130          | 10.24.222.133  |

| aliyun      | i-wz91skfof1ap61iffl4x | HT_ceshi_02                              | 120.76.194.194         | 10.46.126.3    |

| aliyun      | i-wz9bts6ntyr2ucgou2ge | HT_ceshi_03                              | 120.76.194.200         | 10.46.126.243  |

| aliyun      | i-j6c844kjiz7oc2x8q6wk | HT_FANQIANG_Server                       | 47.75.45.232(弹性IP)   | 172.31.81.143  |

| aliyun      | i-j6cc7whwj30hupj94u7e | Salt_HK_proxy_Master                     | 47.90.66.35            | 10.28.187.66   |

| aliyun      | i-j6c55x3wrnc2v1mddlor | HK_proxy_FUJIAN_CDN_HK                   | 47.91.165.148          | 10.30.73.129   |

| aliyun      | i-wz959z7tidl98ork0b3k | HT_ceshi_11                              | 120.77.238.168         | 10.29.70.141   |

| aliyun      | i-wz95pkll3unw41fwbtwe | HT_ceshi_10                              | 120.77.238.170         | 10.29.68.98    |
| aliyun      | i-wz95ylvdo8ouhmzusmc5 | HT_ceshi_08                              | 120.77.238.153         | 10.29.69.172   |

| aliyun      | i-wz98djk0smqdvd0tk5l3 | HT_ceshi_07                              | 120.76.201.113         | 10.26.2.172    |

| aliyun      | i-wz9g7uro1snhd7xpin3b | HT_ceshi_06                              | 120.76.200.52          | 10.26.1.237    |
| aliyun      | i-wz97szx8c4by1l0swgxz | HT_ceshi_09                              | 120.77.238.124         | 10.29.71.150   |





| qcloud      | ins-ib0to7d0           | shenhe-hk-proxy                          | 119.28.70.164          | 10.144.104.64  |

| aliyun      | i-bp1gtllvidj5nzctr29u | wanghan_test                             | 47.97.186.2            | 10.114.0.56    |

| qcloud      | ins-04pr5g81           | Devops_IP_Detection_node2                | 123.207.216.230        | 10.105.31.150  |


| qcloud      | ins-103krfqf           | Qcloud_Proxy_KANGPINGMJ_2                | 123.207.186.229        | 10.10.128.35   |

| qcloud      | ins-470eli05           | Devops_Monitor_Falcon_Gate_2             | 182.254.246.46         | 10.105.113.186 |

| qcloud      | ins-a4kx22v7           | Qcloud_Proxy_KANGPINGMJ_1                | 115.159.92.224         | 10.10.128.38   |

| qcloud      | ins-6hf5ojk3           | Qcloud_Proxy_JILINMJ_1                   | 115.159.69.199         | 10.10.128.2    |


| qcloud      | ins-6t0egjdx           | 游戏自定义镜像                           | 118.89.153.150         | 10.154.65.24   |


| qcloud      | ins-igafjjhj           | SERVER_query_ZHOUWEI_1                   | 115.159.193.38         | 10.105.249.247 |

| qcloud      | ins-qzr93bk5           | 未知中控机-Linux6.5_域名备案用           | 115.159.143.148        | 10.105.241.175 |

| qcloud      | ins-osof9fnz           | CESHI_CLIENT_UPDATE                      | 115.159.55.43          | 10.105.37.135  |

| qcloud      | ins-6tyv8iys           | 游戏镜像                                 | 119.29.28.127          | 10.104.240.82  |

| qcloud      | ins-awinihgq           | Devops_IP_Detection_node1                | 119.29.81.27           | 10.135.175.167 |

| qcloud      | ins-b2nzutds           | SERVER_query_GUANGXI                     | 119.29.167.165         | 10.104.215.4   |


| aliyun      | i-wz92h06kutr4qmvj33po | CESHI_User_Center_2                      | 120.77.239.151         | 10.81.249.8    |
| aliyun      | i-wz97enxc2us37x7y8t7c | CESHI_Python_3                           | 120.77.239.160         | 10.81.249.15   |
| aliyun      | i-wz94aqdxa2c08d4bkgpa | CESHI_Python_2                           | 120.77.239.162         | 10.81.248.233  |
| aliyun      | i-wz9g02u7cbswrtwvbnqn | CESHI_SHEJIAO_3                          | 120.79.49.33           | 10.111.189.130 |
| aliyun      | i-wz9bhan5nqzh9b7swoyu | CESHI_SHEJIAO_2                          | 120.79.188.191         | 10.111.189.129 |
| aliyun      | i-wz9iy0xjiod4n2nzbprr | CESHI_SHEJIAO_1                          | 120.79.154.223         | 10.111.189.128 |
| aliyun      | i-wz9jarefy5chau1kayzu | CESHI_YXDT                               | 120.77.239.112         | 10.81.248.219  |
| aliyun      | i-wz964s4iy4m7ere5nrsu | CESHI_ZHUAWAWA                           | 120.77.239.66          | 10.81.248.213  |
| aliyun      | i-wz9fe3jh67t7fb17vzx8 | CESHI_Guild_1                            | 120.77.239.120         | 10.81.248.210  |
| aliyun      | i-wz9ik92jqdzp7q3x8mbd | CESHI_Push_1                             | 120.77.238.210         | 10.81.248.217  |
| aliyun      | i-wz97uq2iey62t4slk1xt | CESHI_Guild_2                            | 120.77.239.95          | 10.81.248.214  |
| aliyun      | i-wz9ag3thx2q19pl9abvz | CESHI_ZCHN                               | 119.23.141.51          | 10.30.208.134  |
| aliyun      | i-wz9fmfs3sdpye85boryu | CESHI_User_Center_1                      | 120.77.239.32          | 10.81.248.115  |
| aliyun      | i-wz911p1v3ouibfo6m6bs | CESHI_SICHUANMJ_Match_1                  | 120.77.238.215         | 10.81.248.16   |
| aliyun      | i-wz97hwd6d3isar8ihual | CESHI_SICHUANMJ_Mysql_1                  | 120.77.238.188         | 10.81.248.13   |
| aliyun      | i-wz9et3m7jh6qjkjti0uh | CESHI_SICHUANMJ_CoinsServer_1            | 120.77.238.207         | 10.29.71.222   |
| aliyun      | i-wz9iq1h2dcf9kk9hvoph | CESHI_SICHUANMJ_Team_1                   | 120.77.238.201         | 10.81.248.5    |
| aliyun      | i-wz98d5epowpx5bxxdo25 | CESHI_SICHUANMJ_Login_Gate_2             | 120.77.238.143         | 10.29.71.226   |
| aliyun      | i-wz9a515urn0s8kddyftv | CESHI_SICHUANMJ_Login_Gate_1             | 120.77.238.189         | 10.29.71.197   |
| aliyun      | i-wz9d9oupmd6cb9apji1f | CESHI_SICHUANMJ_Logic_3                  | 120.77.238.198         | 10.81.248.8    |
| aliyun      | i-wz93cvdna1eb9kcjazi1 | CESHI_SICHUANMJ_Logic_2                  | 120.77.238.49          | 10.81.248.3    |
| aliyun      | i-wz9d55tq6hv8oiwlfzeu | CESHI_SICHUANMJ_Logic_1                  | 120.77.237.233         | 10.29.71.237   |
| aliyun      | i-wz96wcvxkf5gq7mt1ly8 | CESHI_SICHUANMJ_LM_1                     | 120.77.236.190         | 10.29.71.214   |
| aliyun      | i-wz94ae2sktry90dqtr1d | CESHI_SICHUANMJ_LD_1                     | 120.77.238.205         | 10.29.69.212   |
| aliyun      | i-wz985me2n73nny00608w | CESHI_SICHUANMJ_Center_1                 | 120.77.238.208         | 10.81.248.2    |
| aliyun      | i-wz93cvdna1eb9geh2vis | CESHI_SICHUANMJ_master                   | 120.77.238.203         | 10.81.248.1    |
| aliyun      | i-wz953f577yb2vxfn5sck | CESHI_Game_Docker_1                      | 120.77.238.103         | 10.29.71.190   |
| aliyun      | i-wz9gxv9cje7y1a8xyi49 | CESHI_YUENAN_1                           | 120.78.186.110         | 10.111.189.126 |
| aliyun      | i-wz9exyy60ycz5xq99jb1 | CESHI_SICHUAN_2                          | 120.78.224.148         | 10.80.234.54   |
| aliyun      | i-wz9hbmmjvrempel12c05 | CESHI_DOUDIZHU_2                         | 119.23.173.10          | 10.30.255.68   |
| aliyun      | i-wz95ber5wsbluf4om0hu | CESHI_XINJIANG                           | 112.74.82.119          | 10.24.222.52   |
| aliyun      | i-wz943t8c5urag6ke9j6p | CESHI_XIZANG                             | 120.25.145.232         | 10.116.128.254 |
| aliyun      | i-wz9a5i2enlkayrw9avr8 | CESHI_Activity_ElkStack_1                | 120.24.37.159          | 10.44.128.187  |
| aliyun      | i-wz9h72tvs4a5gvd0uzkh | CESHI_Activity_Mysql_1                   | 112.74.78.21           | 10.116.0.84    |
| aliyun      | i-wz9be2yzzw0fcedm39a3 | CESHI_GUANGDONGMJ                        | 39.108.193.75          | 10.144.108.31  |
| aliyun      | i-wz99wuhmgaijlkams2ju | CESHI_Activity_Logic_1                   | 120.24.6.68            | 10.44.133.146  |
| aliyun      | i-wz95th6fsxas7a6g69e4 | CESHI_Activity_Logic_2                   | 112.74.86.227          | 10.24.223.77   |
| aliyun      | i-wz914uuk0ekvj62h5yzu | CESHI_Python_1                           | 120.25.201.130         | 10.44.132.225  |
| aliyun      | i-wz93zaz1iojdqdzpsluz | HT_ceshi_05                              | 120.25.144.21          | 10.116.129.196 |
| aliyun      | i-wz92c42yq1mjf18qi7gs | CESHI_LIAONINGMJ_2                       | 112.74.100.194         | 10.116.4.14    |
| aliyun      | i-wz9801p3wpc7zr1zpacm | CESHI_XINMINMJ                           | 112.74.105.233         | 10.116.33.195  |
| aliyun      | i-wz9801p3wpc7zr1zpacn | CESHI_LIAOZHONGMJ                        | 112.74.111.97          | 10.116.34.114  |
| aliyun      | i-wz93ivm4b9jhtd39b52v | CESHI_HUNAN_2                            | 120.25.214.141         | 10.44.134.245  |
| aliyun      | i-wz96vptwtuhhz843ggrj | CESHI_FAKU                               | 120.25.76.75           | 10.24.209.62   |
| aliyun      | i-wz96vptwtuhhz843ggri | CESHI_KANGPING                           | 120.24.40.22           | 10.44.123.202  |
| aliyun      | i-wz97cc3sh8z3xaqj0klo | CESHI_YULIN                              | 120.24.211.204         | 10.44.88.150   |
| aliyun      | i-wz94asog2ej2nd6qm37f | CESHI_BENXIMJ                            | 120.76.76.245          | 10.172.42.19   |
| aliyun      | i-wz9ebaaddgmx36vobn57 | CESHI_JIAOJIREN                          | 112.74.72.84           | 10.116.0.44    |
